Date,Open,High,Low,Close,Adj Close,Volume
2017-01-19,63.172043,63.512547,62.930107,63.109318,52.789604,6314663
2017-01-20,63.091396,63.431900,62.992832,63.306454,52.954506,3378244
2017-01-23,62.894264,63.091396,62.562725,62.849461,52.572243,5277676
2017-01-24,62.670250,62.894264,62.302868,62.750896,52.489796,4543906
2017-01-25,63.826164,64.811829,63.405018,64.659500,54.086304,7220185
2017-01-26,64.722221,64.802864,64.310036,64.435486,53.898918,5451772
2017-01-27,64.247314,64.722221,64.068100,64.704300,54.123775,5053025
2017-01-30,64.471329,64.964157,64.345879,64.784943,54.191235,4573368
2017-01-31,64.955200,66.263443,64.740143,66.236557,55.405479,3907897
2017-02-01,65.510750,65.815414,65.179214,65.788528,55.030712,5940803
2017-02-02,65.197136,65.627243,65.161293,65.483871,54.775871,4701038
2017-02-03,65.967743,66.281364,65.851257,66.209679,55.382996,3369204
2017-02-06,65.994621,66.397850,65.994621,66.379929,55.525402,2227201
2017-02-07,66.657707,66.711472,66.290321,66.433693,55.570377,2248963
2017-02-08,66.263443,66.881721,66.173836,66.845879,55.915161,2925036
2017-02-09,66.845879,67.562721,66.845879,67.311829,56.304916,2938874
2017-02-10,67.025093,67.553764,66.980286,67.392471,56.372375,2260346
2017-02-13,67.589607,67.616486,67.338707,67.589607,56.537273,3198233
2017-02-14,67.195343,67.500000,66.783157,67.347672,56.334896,3438061
2017-02-15,67.114693,68.019714,67.078850,67.948029,56.837090,3499888
2017-02-16,68.494621,68.772400,68.216843,68.754478,57.511665,2787433
2017-02-17,68.342293,69.184586,68.306450,69.175629,57.863949,3980549
2017-02-21,68.575272,69.301079,68.530464,69.032257,57.744019,4350056
2017-02-22,68.548386,69.094978,68.530464,68.862007,57.601608,4443354
2017-02-23,69.318993,69.587814,69.059143,69.399643,58.051327,3942158
2017-02-24,69.399643,69.399643,68.835129,69.247314,57.923908,3067772
2017-02-27,69.310036,69.623657,69.256271,69.516129,58.148769,1825441
2017-02-28,69.659500,70.367386,69.614693,70.044800,58.590988,3113640
2017-03-01,67.571686,68.055557,67.491035,67.858421,58.828701,3037975
2017-03-02,66.711472,67.401436,66.675629,67.051971,58.129562,6910049
